:Data_list: 20130609_Gp_xr_5m.txt
:Created: 2013 Jun 09 1825 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2013 06 09  0150   56452   6600     3.18e-08    6.66e-07    4.64e-02
2013 06 09  0155   56452   6900     2.98e-08    6.15e-07    4.59e-02
2013 06 09  0200   56452   7200     3.45e-07    1.98e-06    1.67e-01
2013 06 09  0205   56452   7500     5.42e-07    3.61e-06    1.51e-01
2013 06 09  0210   56452   7800     3.04e-07    3.24e-06    9.27e-02
2013 06 09  0215   56452   8100     1.32e-07    2.21e-06    5.91e-02
2013 06 09  0220   56452   8400     7.24e-08    1.59e-06    4.54e-02
2013 06 09  0225   56452   8700     6.21e-08    1.35e-06    4.60e-02
2013 06 09  0230   56452   9000     5.96e-08    1.29e-06    4.60e-02
2013 06 09  0235   56452   9300     4.51e-08    1.16e-06    3.89e-02
2013 06 09  0240   56452   9600     2.94e-08    9.87e-07    2.97e-02
2013 06 09  0245   56452   9900     1.76e-08    8.45e-07    2.07e-02
2013 06 09  0250   56452  10200     1.02e-08    7.26e-07    1.41e-02
2013 06 09  0255   56452  10500     5.67e-09    6.29e-07    8.89e-03
2013 06 09  0300   56452  10800     1.90e-09    5.46e-07    3.45e-03
2013 06 09  0305   56452  11100     1.66e-09    4.72e-07    3.48e-03
2013 06 09  0310   56452  11400     1.01e-09    4.18e-07    2.41e-03
2013 06 09  0315   56452  11700     1.00e-09    3.76e-07    2.66e-03
2013 06 09  0320   56452  12000     1.00e-09    3.50e-07    2.85e-03
2013 06 09  0325   56452  12300     1.00e-09    3.27e-07    3.06e-03
2013 06 09  0330   56452  12600     1.00e-09    3.05e-07    3.28e-03
2013 06 09  0335   56452  12900     1.00e-09    2.93e-07    3.41e-03
2013 06 09  0340   56452  13200     1.00e-09    2.93e-07    3.41e-03
2013 06 09  0345   56452  13500     1.00e-09    2.89e-07    3.46e-03
2013 06 09  0350   56452  13800     1.00e-09    2.74e-07    3.65e-03
2013 06 09  0355   56452  14100     1.00e-09    2.51e-07    3.98e-03
2013 06 09  0400   56452  14400     1.00e-09    2.41e-07    4.15e-03
2013 06 09  0405   56452  14700     1.00e-09    2.32e-07    4.33e-03
2013 06 09  0410   56452  15000     1.00e-09    2.30e-07    4.35e-03
2013 06 09  0415   56452  15300     1.00e-09    2.27e-07    4.40e-03
2013 06 09  0420   56452  15600     1.00e-09    2.29e-07    4.37e-03
2013 06 09  0425   56452  15900     1.00e-09    2.30e-07    4.35e-03
2013 06 09  0430   56452  16200     1.60e-09    2.53e-07    6.04e-03
2013 06 09  0435   56452  16500     1.08e-09    2.83e-07    3.81e-03
2013 06 09  0440   56452  16800     1.00e-09    2.47e-07    4.04e-03
2013 06 09  0445   56452  17100     1.00e-09    2.30e-07    4.35e-03
2013 06 09  0450   56452  17400     1.00e-09    2.19e-07    4.56e-03
2013 06 09  0455   56452  17700     1.00e-09    2.14e-07    4.68e-03
2013 06 09  0500   56452  18000     1.00e-09    2.11e-07    4.75e-03
2013 06 09  0505   56452  18300     1.00e-09    2.10e-07    4.75e-03
2013 06 09  0510   56452  18600     1.00e-09    2.13e-07    4.70e-03
2013 06 09  0515   56452  18900     1.00e-09    2.13e-07    4.70e-03
2013 06 09  0520   56452  19200     1.00e-09    2.10e-07    4.77e-03
2013 06 09  0525   56452  19500     1.00e-09    2.15e-07    4.65e-03
2013 06 09  0530   56452  19800     1.00e-09    2.19e-07    4.56e-03
2013 06 09  0535   56452  20100     1.17e-09    2.51e-07    4.65e-03
2013 06 09  0540   56452  20400     1.32e-09    2.83e-07    4.66e-03
2013 06 09  0545   56452  20700     1.00e-09    2.65e-07    3.77e-03
2013 06 09  0550   56452  21000     1.00e-09    2.44e-07    4.10e-03
2013 06 09  0555   56452  21300     1.00e-09    2.28e-07    4.39e-03
2013 06 09  0600   56452  21600     1.00e-09    2.12e-07    4.71e-03
2013 06 09  0605   56452  21900     1.00e-09    2.22e-07    4.51e-03
2013 06 09  0610   56452  22200     1.00e-09    2.23e-07    4.49e-03
2013 06 09  0615   56452  22500     1.00e-09    2.15e-07    4.65e-03
2013 06 09  0620   56452  22800     1.00e-09    2.33e-07    4.29e-03
2013 06 09  0625   56452  23100     1.96e-09    2.73e-07    6.97e-03
2013 06 09  0630   56452  23400     1.88e-09    3.04e-07    6.18e-03
2013 06 09  0635   56452  23700     1.10e-09    2.91e-07    3.78e-03
2013 06 09  0640   56452  24000     1.07e-09    2.65e-07    4.07e-03
2013 06 09  0645   56452  24300     1.00e-09    2.32e-07    4.31e-03
2013 06 09  0650   56452  24600     1.00e-09    2.15e-07    4.65e-03
2013 06 09  0655   56452  24900     1.00e-09    2.07e-07    4.83e-03
2013 06 09  0700   56452  25200     1.00e-09    2.07e-07    4.83e-03
2013 06 09  0705   56452  25500     1.00e-09    2.10e-07    4.77e-03
2013 06 09  0710   56452  25800     2.84e-09    2.63e-07    1.00e-02
2013 06 09  0715   56452  26100     1.36e-08    3.95e-07    3.42e-02
2013 06 09  0720   56452  26400     1.76e-08    4.90e-07    3.59e-02
2013 06 09  0725   56452  26700     1.43e-08    5.06e-07    2.81e-02
2013 06 09  0730   56452  27000     7.70e-09    4.52e-07    1.69e-02
2013 06 09  0735   56452  27300     2.38e-09    3.85e-07    6.10e-03
2013 06 09  0740   56452  27600     1.59e-09    3.44e-07    4.59e-03
2013 06 09  0745   56452  27900     1.00e-09    3.07e-07    3.26e-03
2013 06 09  0750   56452  28200     1.00e-09    2.91e-07    3.44e-03
2013 06 09  0755   56452  28500     1.00e-09    2.66e-07    3.76e-03
2013 06 09  0800   56452  28800     1.00e-09    2.64e-07    3.79e-03
2013 06 09  0805   56452  29100     1.00e-09    2.53e-07    3.95e-03
2013 06 09  0810   56452  29400     1.00e-09    2.44e-07    4.10e-03
2013 06 09  0815   56452  29700     1.00e-09    2.28e-07    4.40e-03
2013 06 09  0820   56452  30000     1.00e-09    2.09e-07    4.79e-03
2013 06 09  0825   56452  30300     1.00e-09    1.93e-07    5.19e-03
2013 06 09  0830   56452  30600     1.00e-09    1.97e-07    5.07e-03
2013 06 09  0835   56452  30900     1.00e-09    1.95e-07    5.14e-03
2013 06 09  0840   56452  31200     1.00e-09    1.94e-07    5.15e-03
2013 06 09  0845   56452  31500     1.00e-09    1.94e-07    5.15e-03
2013 06 09  0850   56452  31800     1.00e-09    1.93e-07    5.18e-03
2013 06 09  0855   56452  32100     1.00e-09    1.86e-07    5.38e-03
2013 06 09  0900   56452  32400     1.01e-09    1.88e-07    5.40e-03
2013 06 09  0905   56452  32700     3.06e-09    1.90e-07    1.63e-02
2013 06 09  0910   56452  33000     1.04e-09    1.81e-07    5.76e-03
2013 06 09  0915   56452  33300     1.05e-09    1.80e-07    5.82e-03
2013 06 09  0920   56452  33600     1.01e-09    1.95e-07    5.19e-03
2013 06 09  0925   56452  33900     1.41e-09    2.00e-07    7.06e-03
2013 06 09  0930   56452  34200     1.86e-09    1.90e-07    9.76e-03
2013 06 09  0935   56452  34500     1.72e-09    1.87e-07    9.23e-03
2013 06 09  0940   56452  34800     1.29e-09    1.80e-07    7.18e-03
2013 06 09  0945   56452  35100     1.10e-09    1.81e-07    6.06e-03
2013 06 09  0950   56452  35400     1.01e-09    1.85e-07    5.49e-03
2013 06 09  0955   56452  35700     1.00e-09    1.88e-07    5.32e-03
2013 06 09  1000   56452  36000     1.03e-09    2.20e-07    4.69e-03
2013 06 09  1005   56452  36300     1.60e-09    2.75e-07    5.78e-03
2013 06 09  1010   56452  36600     1.33e-09    2.74e-07    4.86e-03
2013 06 09  1015   56452  36900     4.64e-09    3.33e-07    1.24e-02
2013 06 09  1020   56452  37200     3.58e-09    2.77e-07    1.27e-02
2013 06 09  1025   56452  37500     3.75e-09    2.36e-07    1.59e-02
2013 06 09  1030   56452  37800     1.99e-09    2.17e-07    9.29e-03
2013 06 09  1035   56452  38100     1.79e-09    1.98e-07    9.05e-03
2013 06 09  1040   56452  38400     1.21e-09    1.90e-07    6.38e-03
2013 06 09  1045   56452  38700     1.01e-09    1.81e-07    5.60e-03
2013 06 09  1050   56452  39000     1.00e-09    1.79e-07    5.58e-03
2013 06 09  1055   56452  39300     1.00e-09    1.79e-07    5.58e-03
2013 06 09  1100   56452  39600     1.00e-09    1.78e-07    5.62e-03
2013 06 09  1105   56452  39900     1.00e-09    1.75e-07    5.70e-03
2013 06 09  1110   56452  40200     1.00e-09    1.72e-07    5.81e-03
2013 06 09  1115   56452  40500     1.00e-09    1.72e-07    5.80e-03
2013 06 09  1120   56452  40800     1.00e-09    1.73e-07    5.79e-03
2013 06 09  1125   56452  41100     1.00e-09    1.76e-07    5.68e-03
2013 06 09  1130   56452  41400     1.00e-09    1.76e-07    5.70e-03
2013 06 09  1135   56452  41700     1.00e-09    1.74e-07    5.75e-03
2013 06 09  1140   56452  42000     1.00e-09    1.69e-07    5.92e-03
2013 06 09  1145   56452  42300     1.00e-09    1.68e-07    5.96e-03
2013 06 09  1150   56452  42600     1.00e-09    1.66e-07    6.03e-03
2013 06 09  1155   56452  42900     1.00e-09    1.67e-07    6.00e-03
2013 06 09  1200   56452  43200     1.00e-09    1.69e-07    5.91e-03
2013 06 09  1205   56452  43500     1.00e-09    1.73e-07    5.77e-03
2013 06 09  1210   56452  43800     1.00e-09    1.79e-07    5.59e-03
2013 06 09  1215   56452  44100     1.02e-09    1.77e-07    5.77e-03
2013 06 09  1220   56452  44400     1.11e-09    1.74e-07    6.36e-03
2013 06 09  1225   56452  44700     1.17e-09    1.71e-07    6.81e-03
2013 06 09  1230   56452  45000     4.97e-09    1.71e-07    2.92e-02
2013 06 09  1235   56452  45300     7.43e-09    1.71e-07    4.33e-02
2013 06 09  1240   56452  45600     4.91e-09    1.75e-07    2.80e-02
2013 06 09  1245   56452  45900     5.12e-09    1.80e-07    2.84e-02
2013 06 09  1250   56452  46200     5.83e-09    1.81e-07    3.22e-02
2013 06 09  1255   56452  46500     4.67e-09    1.84e-07    2.54e-02
2013 06 09  1300   56452  46800     5.16e-09    1.87e-07    2.77e-02
2013 06 09  1305   56452  47100     3.39e-09    1.82e-07    1.85e-02
2013 06 09  1310   56452  47400     1.40e-09    1.79e-07    7.81e-03
2013 06 09  1315   56452  47700     1.26e-09    1.79e-07    7.03e-03
2013 06 09  1320   56452  48000     1.22e-09    1.74e-07    6.99e-03
2013 06 09  1325   56452  48300     1.07e-09    1.75e-07    6.10e-03
2013 06 09  1330   56452  48600     1.02e-09    1.75e-07    5.85e-03
2013 06 09  1335   56452  48900     1.00e-09    1.76e-07    5.67e-03
2013 06 09  1340   56452  49200     1.00e-09    1.77e-07    5.65e-03
2013 06 09  1345   56452  49500     1.18e-09    1.88e-07    6.31e-03
2013 06 09  1350   56452  49800     2.01e-09    2.11e-07    9.46e-03
2013 06 09  1355   56452  50100     1.59e-09    2.25e-07    7.08e-03
2013 06 09  1400   56452  50400     1.00e-09    2.23e-07    4.49e-03
2013 06 09  1405   56452  50700     1.00e-09    2.16e-07    4.63e-03
2013 06 09  1410   56452  51000     1.06e-09    2.15e-07    4.96e-03
2013 06 09  1415   56452  51300     1.26e-09    2.27e-07    5.56e-03
2013 06 09  1420   56452  51600     1.25e-09    2.32e-07    5.36e-03
2013 06 09  1425   56452  51900     3.49e-09    2.98e-07    1.14e-02
2013 06 09  1430   56452  52200     1.02e-09    2.72e-07    3.76e-03
2013 06 09  1435   56452  52500     1.00e-09    2.26e-07    4.44e-03
2013 06 09  1440   56452  52800     1.00e-09    2.01e-07    4.98e-03
2013 06 09  1445   56452  53100     1.00e-09    1.93e-07    5.17e-03
2013 06 09  1450   56452  53400     1.00e-09    1.86e-07    5.37e-03
2013 06 09  1455   56452  53700     1.00e-09    1.80e-07    5.58e-03
2013 06 09  1500   56452  54000     1.06e-09    1.73e-07    6.14e-03
2013 06 09  1505   56452  54300     1.00e-09    1.70e-07    5.92e-03
2013 06 09  1510   56452  54600     1.00e-09    1.67e-07    6.00e-03
2013 06 09  1515   56452  54900     1.00e-09    1.67e-07    5.98e-03
2013 06 09  1520   56452  55200     1.06e-09    1.72e-07    6.19e-03
2013 06 09  1525   56452  55500     2.60e-09    2.23e-07    1.13e-02
2013 06 09  1530   56452  55800     3.41e-09    2.29e-07    1.48e-02
2013 06 09  1535   56452  56100     3.24e-09    2.06e-07    1.59e-02
2013 06 09  1540   56452  56400     1.63e-09    1.92e-07    8.49e-03
2013 06 09  1545   56452  56700     1.00e-09    1.86e-07    5.40e-03
2013 06 09  1550   56452  57000     1.60e-09    1.92e-07    8.31e-03
2013 06 09  1555   56452  57300     2.02e-09    1.96e-07    1.03e-02
2013 06 09  1600   56452  57600     2.38e-09    1.83e-07    1.30e-02
2013 06 09  1605   56452  57900     1.20e-09    1.74e-07    6.88e-03
2013 06 09  1610   56452  58200     1.09e-09    1.68e-07    6.47e-03
2013 06 09  1615   56452  58500     1.23e-09    1.68e-07    7.35e-03
2013 06 09  1620   56452  58800     1.14e-09    1.71e-07    6.69e-03
2013 06 09  1625   56452  59100     1.12e-09    1.72e-07    6.48e-03
2013 06 09  1630   56452  59400     1.04e-09    1.65e-07    6.31e-03
2013 06 09  1635   56452  59700     1.00e-09    1.67e-07    5.99e-03
2013 06 09  1640   56452  60000     1.05e-09    1.65e-07    6.33e-03
2013 06 09  1645   56452  60300     1.00e-09    1.62e-07    6.18e-03
2013 06 09  1650   56452  60600     1.04e-09    1.62e-07    6.41e-03
2013 06 09  1655   56452  60900     1.10e-09    1.60e-07    6.88e-03
2013 06 09  1700   56452  61200     1.11e-09    1.62e-07    6.85e-03
2013 06 09  1705   56452  61500     1.02e-09    1.60e-07    6.40e-03
2013 06 09  1710   56452  61800     1.00e-09    1.61e-07    6.21e-03
2013 06 09  1715   56452  62100     1.00e-09    1.62e-07    6.17e-03
2013 06 09  1720   56452  62400     1.00e-09    1.57e-07    6.35e-03
2013 06 09  1725   56452  62700     1.00e-09    1.59e-07    6.29e-03
2013 06 09  1730   56452  63000     1.00e-09    1.58e-07    6.34e-03
2013 06 09  1735   56452  63300     1.02e-09    1.60e-07    6.39e-03
2013 06 09  1740   56452  63600     1.08e-09    1.63e-07    6.62e-03
2013 06 09  1745   56452  63900     1.73e-09    1.65e-07    1.04e-02
2013 06 09  1750   56452  64200     3.30e-09    1.82e-07    1.78e-02
2013 06 09  1755   56452  64500     2.66e-09    2.13e-07    1.24e-02
2013 06 09  1800   56452  64800     1.93e-09    2.06e-07    9.24e-03
2013 06 09  1805   56452  65100     1.53e-09    1.90e-07    8.04e-03
2013 06 09  1810   56452  65400     3.21e-09    2.06e-07    1.53e-02
2013 06 09  1815   56452  65700     4.11e-09    2.45e-07    1.68e-02
2013 06 09  1820   56452  66000     2.45e-09    2.25e-07    1.09e-02
