:Data_list: 20120906_Gs_xr_5m.txt
:Created: 2012 Sep 11 1935 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-14
# Location: W105
# Missing data: -1.00e+05
#
#                         GOES-14 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2012 09 06  1340   56176  49200     1.00e-09    4.46e-07    2.24e-03
2012 09 06  1345   56176  49500     1.00e-09    4.88e-07    2.05e-03
2012 09 06  1350   56176  49800     1.00e-09    5.13e-07    1.95e-03
2012 09 06  1355   56176  50100     1.32e-09    5.84e-07    2.28e-03
2012 09 06  1400   56176  50400     1.00e-09    5.39e-07    1.86e-03
2012 09 06  1405   56176  50700     1.00e-09    4.81e-07    2.08e-03
2012 09 06  1410   56176  51000     1.00e-09    4.58e-07    2.19e-03
2012 09 06  1415   56176  51300     1.00e-09    4.45e-07    2.25e-03
2012 09 06  1420   56176  51600     1.00e-09    4.36e-07    2.29e-03
2012 09 06  1425   56176  51900     1.00e-09    4.25e-07    2.35e-03
2012 09 06  1430   56176  52200     1.00e-09    4.16e-07    2.40e-03
2012 09 06  1435   56176  52500     1.00e-09    4.12e-07    2.43e-03
2012 09 06  1440   56176  52800     1.00e-09    4.24e-07    2.36e-03
2012 09 06  1445   56176  53100     1.00e-09    4.20e-07    2.38e-03
2012 09 06  1450   56176  53400     1.00e-09    4.30e-07    2.33e-03
2012 09 06  1455   56176  53700     1.00e-09    4.41e-07    2.27e-03
2012 09 06  1500   56176  54000     1.00e-09    4.51e-07    2.22e-03
2012 09 06  1505   56176  54300     1.00e-09    4.85e-07    2.07e-03
2012 09 06  1510   56176  54600     4.53e-09    6.15e-07    6.66e-03
2012 09 06  1515   56176  54900     4.45e-07    2.72e-06    1.10e-01
2012 09 06  1520   56176  55200     1.14e-06    6.92e-06    1.63e-01
2012 09 06  1525   56176  55500     4.75e-07    4.90e-06    9.55e-02
2012 09 06  1530   56176  55800     2.14e-07    3.42e-06    6.23e-02
2012 09 06  1535   56176  56100     1.26e-07    2.83e-06    4.43e-02
2012 09 06  1540   56176  56400     2.01e-07    3.40e-06    5.89e-02
2012 09 06  1545   56176  56700     1.37e-07    3.03e-06    4.49e-02
2012 09 06  1550   56176  57000     7.23e-08    2.42e-06    2.96e-02
2012 09 06  1555   56176  57300     3.56e-08    1.94e-06    1.82e-02
2012 09 06  1600   56176  57600     1.54e-08    1.51e-06    1.00e-02
2012 09 06  1605   56176  57900     4.46e-09    1.22e-06    3.52e-03
2012 09 06  1610   56176  58200     1.41e-09    1.01e-06    1.38e-03
2012 09 06  1615   56176  58500     1.00e-09    8.54e-07    1.17e-03
2012 09 06  1620   56176  58800     1.31e-09    7.80e-07    1.68e-03
2012 09 06  1625   56176  59100     1.53e-09    8.58e-07    1.79e-03
2012 09 06  1630   56176  59400     1.93e-09    8.34e-07    2.32e-03
2012 09 06  1635   56176  59700     1.18e-09    7.90e-07    1.49e-03
2012 09 06  1640   56176  60000     1.02e-09    7.68e-07    1.33e-03
2012 09 06  1645   56176  60300     1.00e-09    7.39e-07    1.35e-03
2012 09 06  1650   56176  60600     1.00e-09    6.72e-07    1.49e-03
2012 09 06  1655   56176  60900     1.00e-09    6.44e-07    1.55e-03
2012 09 06  1700   56176  61200     1.02e-09    6.22e-07    1.64e-03
2012 09 06  1705   56176  61500     1.08e-09    5.82e-07    1.86e-03
2012 09 06  1710   56176  61800     1.00e-09    5.65e-07    1.77e-03
2012 09 06  1715   56176  62100     1.00e-09    5.52e-07    1.81e-03
2012 09 06  1720   56176  62400     1.00e-09    5.73e-07    1.75e-03
2012 09 06  1725   56176  62700     1.10e-09    6.14e-07    1.77e-03
2012 09 06  1730   56176  63000     5.94e-08    1.12e-06    5.05e-02
2012 09 06  1735   56176  63300     1.14e-09    7.21e-07    1.59e-03
2012 09 06  1740   56176  63600     1.00e-09    6.06e-07    1.65e-03
2012 09 06  1745   56176  63900     1.00e-09    5.48e-07    1.82e-03
2012 09 06  1750   56176  64200     1.00e-09    5.58e-07    1.79e-03
2012 09 06  1755   56176  64500     1.00e-09    5.55e-07    1.80e-03
2012 09 06  1800   56176  64800     1.00e-09    5.52e-07    1.81e-03
2012 09 06  1805   56176  65100     1.09e-09    5.61e-07    1.94e-03
2012 09 06  1810   56176  65400     1.00e-09    5.78e-07    1.73e-03
2012 09 06  1815   56176  65700     1.02e-09    5.88e-07    1.74e-03
2012 09 06  1820   56176  66000     1.00e-09    5.36e-07    1.87e-03
2012 09 06  1825   56176  66300     1.00e-09    5.14e-07    1.94e-03
2012 09 06  1830   56176  66600     1.00e-09    5.12e-07    1.95e-03
2012 09 06  1835   56176  66900     1.00e-09    5.16e-07    1.94e-03
2012 09 06  1840   56176  67200     1.00e-09    5.41e-07    1.85e-03
2012 09 06  1845   56176  67500     1.00e-09    5.14e-07    1.94e-03
2012 09 06  1850   56176  67800     1.00e-09    4.99e-07    2.00e-03
2012 09 06  1855   56176  68100     1.00e-09    4.82e-07    2.08e-03
2012 09 06  1900   56176  68400     1.00e-09    4.74e-07    2.11e-03
2012 09 06  1905   56176  68700     1.00e-09    4.75e-07    2.11e-03
2012 09 06  1910   56176  69000     1.00e-09    4.60e-07    2.17e-03
2012 09 06  1915   56176  69300     1.00e-09    4.59e-07    2.18e-03
2012 09 06  1920   56176  69600     1.00e-09    4.59e-07    2.18e-03
2012 09 06  1925   56176  69900     1.00e-09    4.50e-07    2.22e-03
2012 09 06  1930   56176  70200     1.00e-09    4.51e-07    2.22e-03
2012 09 06  1935   56176  70500     1.00e-09    4.52e-07    2.21e-03
2012 09 06  1940   56176  70800     1.00e-09    4.41e-07    2.27e-03
2012 09 06  1945   56176  71100     1.00e-09    4.43e-07    2.26e-03
2012 09 06  1950   56176  71400     1.00e-09    4.40e-07    2.28e-03
2012 09 06  1955   56176  71700     1.00e-09    4.50e-07    2.22e-03
2012 09 06  2000   56176  72000     1.00e-09    4.57e-07    2.19e-03
2012 09 06  2005   56176  72300     1.00e-09    4.63e-07    2.16e-03
2012 09 06  2010   56176  72600     1.00e-09    4.57e-07    2.19e-03
2012 09 06  2015   56176  72900     1.00e-09    4.37e-07    2.29e-03
2012 09 06  2020   56176  73200     1.00e-09    4.31e-07    2.32e-03
2012 09 06  2025   56176  73500     1.00e-09    4.33e-07    2.31e-03
2012 09 06  2030   56176  73800     1.00e-09    4.31e-07    2.32e-03
2012 09 06  2035   56176  74100     1.00e-09    4.29e-07    2.33e-03
2012 09 06  2040   56176  74400     1.00e-09    4.30e-07    2.32e-03
2012 09 06  2045   56176  74700     1.00e-09    4.49e-07    2.23e-03
2012 09 06  2050   56176  75000     1.00e-09    4.80e-07    2.08e-03
2012 09 06  2055   56176  75300     1.00e-09    4.95e-07    2.02e-03
2012 09 06  2100   56176  75600     1.00e-09    5.04e-07    1.98e-03
2012 09 06  2105   56176  75900     1.00e-09    4.82e-07    2.08e-03
2012 09 06  2110   56176  76200     1.00e-09    4.56e-07    2.19e-03
2012 09 06  2115   56176  76500     1.00e-09    4.33e-07    2.31e-03
2012 09 06  2120   56176  76800     1.00e-09    4.24e-07    2.36e-03
2012 09 06  2125   56176  77100     1.00e-09    4.29e-07    2.33e-03
2012 09 06  2130   56176  77400     1.00e-09    4.40e-07    2.27e-03
2012 09 06  2135   56176  77700     1.00e-09    4.31e-07    2.32e-03
2012 09 06  2140   56176  78000     3.70e-09    4.99e-07    5.93e-03
2012 09 06  2145   56176  78300     3.52e-09    6.48e-07    4.72e-03
2012 09 06  2150   56176  78600     1.00e-09    5.02e-07    1.99e-03
2012 09 06  2155   56176  78900     1.00e-09    4.93e-07    2.03e-03
2012 09 06  2200   56176  79200     1.00e-09    4.78e-07    2.09e-03
2012 09 06  2205   56176  79500     1.00e-09    4.60e-07    2.18e-03
2012 09 06  2210   56176  79800     1.00e-09    4.49e-07    2.23e-03
2012 09 06  2215   56176  80100     1.00e-09    4.35e-07    2.30e-03
2012 09 06  2220   56176  80400     1.00e-09    4.41e-07    2.27e-03
2012 09 06  2225   56176  80700     1.00e-09    4.42e-07    2.26e-03
2012 09 06  2230   56176  81000     1.00e-09    4.41e-07    2.27e-03
2012 09 06  2235   56176  81300     1.00e-09    4.31e-07    2.32e-03
2012 09 06  2240   56176  81600     1.00e-09    4.32e-07    2.31e-03
2012 09 06  2245   56176  81900     1.00e-09    4.27e-07    2.34e-03
2012 09 06  2250   56176  82200     1.00e-09    4.28e-07    2.34e-03
2012 09 06  2255   56176  82500     1.00e-09    4.30e-07    2.32e-03
2012 09 06  2300   56176  82800     1.00e-09    4.31e-07    2.32e-03
2012 09 06  2305   56176  83100     1.00e-09    4.27e-07    2.34e-03
2012 09 06  2310   56176  83400     1.00e-09    4.33e-07    2.31e-03
2012 09 06  2315   56176  83700     1.00e-09    4.88e-07    2.05e-03
2012 09 06  2320   56176  84000     1.00e-09    4.65e-07    2.15e-03
2012 09 06  2325   56176  84300     1.00e-09    4.56e-07    2.19e-03
2012 09 06  2330   56176  84600     1.00e-09    4.45e-07    2.25e-03
2012 09 06  2335   56176  84900     1.00e-09    4.44e-07    2.25e-03
2012 09 06  2340   56176  85200     1.33e-09    5.55e-07    2.37e-03
2012 09 06  2345   56176  85500     1.20e-09    6.35e-07    1.87e-03
2012 09 06  2350   56176  85800     1.00e-09    5.58e-07    1.79e-03
2012 09 06  2355   56176  86100     1.00e-09    5.17e-07    1.93e-03
